age,total,men,women,municipality_id,year
38,10505,32.0,33.0,125,2022
39,9590,30.0,29.0,125,2022
40,9021,28.0,27.0,125,2022
41,9140,28.0,28.0,125,2022
42,8488,26.0,26.0,125,2022
43,8306,25.0,26.0,125,2022
44,7781,23.0,25.0,125,2022
45,7564,22.0,24.0,125,2022
46,7683,23.0,24.0,125,2022
47,7375,23.0,23.0,125,2022
48,6927,21.0,22.0,125,2022
49,6854,21.0,21.0,125,2022
50,6576,20.0,20.0,125,2022
51,6259,19.0,19.0,125,2022
52,5918,17.0,19.0,125,2022
53,5797,17.0,18.0,125,2022
54,5594,16.0,18.0,125,2022
55,5586,16.0,18.0,125,2022
56,5658,16.0,19.0,125,2022
57,5877,16.0,20.0,125,2022
58,6176,17.0,21.0,125,2022
59,6428,17.0,22.0,125,2022
60,6612,18.0,23.0,125,2022
61,6719,17.0,24.0,125,2022
62,6596,17.0,23.0,125,2022
63,6578,17.0,24.0,125,2022
64,6396,16.0,23.0,125,2022
65,6090,15.0,23.0,125,2022
66,6041,14.0,23.0,125,2022
67,6484,16.0,24.0,125,2022
68,5737,13.0,22.0,125,2022
69,5800,13.0,22.0,125,2022
70,5457,12.0,21.0,125,2022
