,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
86,86.0,1196.0,305.0,223.0,1377.0,360.0,255.0,1490.0,396.0,275.0,1583.0,424.0,291.0,1616.0,434.0,297.0,1630.0,433.0,300.0,1548.0,409.0,286.0,1415.0,370.0,262.0,1313.0,336.0,245.0
87,87.0,855.0,200.0,164.0,985.0,235.0,188.0,1065.0,259.0,202.0,1132.0,277.0,214.0,1155.0,283.0,218.0,1165.0,283.0,221.0,1107.0,267.0,210.0,1011.0,242.0,193.0,939.0,219.0,180.0
88,88.0,615.0,140.0,119.0,708.0,165.0,136.0,766.0,181.0,146.0,814.0,195.0,155.0,831.0,199.0,158.0,838.0,198.0,160.0,796.0,188.0,152.0,727.0,170.0,140.0,675.0,154.0,131.0
89,89.0,534.0,138.0,99.0,615.0,162.0,113.0,665.0,179.0,122.0,707.0,192.0,129.0,721.0,196.0,132.0,727.0,195.0,133.0,691.0,185.0,127.0,631.0,167.0,117.0,586.0,151.0,109.0
90,90.0,520.0,118.0,101.0,598.0,139.0,115.0,647.0,153.0,124.0,688.0,164.0,131.0,702.0,168.0,134.0,708.0,167.0,135.0,672.0,158.0,129.0,615.0,143.0,118.0,571.0,130.0,110.0
91,91.0,411.0,108.0,76.0,473.0,127.0,87.0,512.0,140.0,93.0,544.0,150.0,99.0,556.0,153.0,101.0,560.0,153.0,102.0,532.0,145.0,97.0,486.0,131.0,89.0,451.0,119.0,83.0
92,92.0,334.0,88.0,62.0,385.0,104.0,70.0,417.0,114.0,76.0,443.0,123.0,80.0,452.0,125.0,82.0,456.0,125.0,83.0,433.0,118.0,79.0,395.0,107.0,72.0,367.0,97.0,68.0
93,93.0,252.0,72.0,45.0,290.0,84.0,52.0,314.0,93.0,56.0,334.0,100.0,59.0,341.0,102.0,60.0,344.0,102.0,61.0,326.0,96.0,58.0,298.0,87.0,53.0,277.0,79.0,50.0
94,94.0,202.0,39.0,41.0,232.0,45.0,47.0,251.0,50.0,50.0,267.0,54.0,53.0,273.0,55.0,54.0,275.0,55.0,55.0,261.0,52.0,52.0,239.0,47.0,48.0,221.0,42.0,45.0
95,95.0,110.0,22.0,22.0,126.0,26.0,25.0,137.0,29.0,27.0,145.0,31.0,29.0,148.0,31.0,29.0,149.0,31.0,30.0,142.0,30.0,28.0,130.0,27.0,26.0,120.0,24.0,24.0
96,96.0,76.0,11.0,16.0,87.0,13.0,18.0,94.0,14.0,20.0,100.0,15.0,21.0,102.0,16.0,22.0,103.0,16.0,22.0,98.0,15.0,21.0,89.0,13.0,19.0,83.0,12.0,18.0
