administrative_unit_id,social_group_id,age,men,women,year
85,31,69,22.0,41.0,2022
85,31,66,23.0,42.0,2022
85,31,65,24.0,42.0,2022
85,31,62,28.0,42.0,2022
85,31,75,7.0,14.0,2022
85,31,73,16.0,32.0,2022
85,31,72,22.0,44.0,2022
85,31,61,30.0,44.0,2022
85,31,64,26.0,42.0,2022
85,21,7,30.0,27.0,2022
85,21,8,21.0,20.0,2022
85,21,9,21.0,20.0,2022
85,21,10,21.0,20.0,2022
85,21,11,19.0,19.0,2022
85,22,12,18.0,18.0,2022
85,22,13,19.0,18.0,2022
85,22,14,20.0,19.0,2022
